target_method,graph_coverage,graph_coverage_info
org.jscience.geography.coordinates.UTM.getCentralMeridian.416,0.875,"NodeCoverage [id=1, node[2,IF_ICMPLT,line 416], decis={node[6,DCONST_0,line 417],node[3,ILOAD_1,line 416]}, covered=true, coveredBranches={6,3}]
NodeCoverage [id=3, node[5,IF_ICMPLE,line 416], decis={node[8,ILOAD_1,line 420],node[6,DCONST_0,line 417]}, covered=true, coveredBranches={6,8}]
NodeCoverage [id=6, node[10,IF_ICMPNE,line 420], decis={node[29,ILOAD_0,line 424],node[11,ILOAD_0,line 420]}, covered=true, coveredBranches={29,11}]
NodeCoverage [id=8, node[13,IF_ICMPLE,line 420], decis={node[29,ILOAD_0,line 424],node[14,ILOAD_0,line 420]}, covered=true, coveredBranches={14,29}]
NodeCoverage [id=10, node[16,IF_ICMPGT,line 420], decis={node[29,ILOAD_0,line 424],node[17,ILOAD_0,line 421]}, covered=true, coveredBranches={17,29}]
NodeCoverage [id=15, node[31,IF_ICMPNE,line 424], decis={node[44,ILOAD_0,line 431],node[32,ILOAD_1,line 425]}, covered=true, coveredBranches={32,44}]
NodeCoverage [id=17, node[34,IF_ICMPNE,line 425], decis={node[38,ILOAD_1,line 427],node[35,LDC2_W,line 426]}, covered=true, coveredBranches={38}]
NodeCoverage [id=22, node[40,IF_ICMPNE,line 427], decis={node[44,ILOAD_0,line 431],node[41,LDC2_W,line 428]}, covered=true, coveredBranches={44}]"
org.jscience.geography.coordinates.UTM.utmToLatLong.579,0.8333333333333334,"NodeCoverage [id=3, node[3,IF_ICMPGE,line 580], decis={node[12,ALOAD_0,line 585],node[4,ALOAD_0,line 582]}, covered=true, coveredBranches={4}]
NodeCoverage [id=11, node[31,IF_ICMPGE,line 592], decis={node[59,DLOAD,line 602],node[32,ALOAD_1,line 593]}, covered=true, coveredBranches={32,59}]
NodeCoverage [id=21, node[51,IFGE,line 596], decis={node[53,DLOAD,line 599],node[52,GOTO,line 597]}, covered=true, coveredBranches={52,53}]"
org.jscience.geography.coordinates.UTM.upsToLatLong.687,0.3888888888888889,"NodeCoverage [id=3, node[3,IF_ICMPLE,line 687], decis={node[6,ICONST_0,line 687],node[4,ICONST_1,line 687]}, covered=true, coveredBranches={6}]
NodeCoverage [id=14, node[27,IFNE,line 693], decis={node[44,ILOAD_2,line 702],node[28,DLOAD_3,line 693]}, covered=true, coveredBranches={44}]
NodeCoverage [id=16, node[31,IFNE,line 693], decis={node[44,ILOAD_2,line 702],node[32,ILOAD_2,line 694]}, covered=false, coveredBranches={}]
NodeCoverage [id=18, node[33,IFEQ,line 694], decis={node[39,LDC2_W,line 697],node[34,LDC2_W,line 695]}, covered=false, coveredBranches={}]
NodeCoverage [id=26, node[45,IFEQ,line 702], decis={node[52,DLOAD,line 705],node[46,DLOAD,line 703]}, covered=true, coveredBranches={52}]
NodeCoverage [id=43, node[159,IFNE,line 724], decis={node[163,DLOAD_3,line 726],node[160,DLOAD_3,line 725]}, covered=true, coveredBranches={163}]
NodeCoverage [id=58, node[229,IFEQ,line 741], decis={node[233,DLOAD,line 744],node[230,DLOAD,line 742]}, covered=true, coveredBranches={233}]
NodeCoverage [id=65, node[166,IFNE,line 726], decis={node[170,DLOAD_3,line 728],node[167,DLOAD,line 727]}, covered=true, coveredBranches={170}]
NodeCoverage [id=68, node[173,IFGE,line 728], decis={node[180,DLOAD_3,line 731],node[174,DLOAD,line 729]}, covered=true, coveredBranches={174}]"
org.jscience.geography.coordinates.XYZ.getOrdinate.228,1.0,"NodeCoverage [id=1, node[1,IFNE,line 228], decis={node[14,ILOAD_1,line 231],node[2,GETSTATIC,line 229]}, covered=true, coveredBranches={14,2}]
NodeCoverage [id=11, node[16,IF_ICMPNE,line 231], decis={node[29,ILOAD_1,line 234],node[17,GETSTATIC,line 232]}, covered=true, coveredBranches={17,29}]
NodeCoverage [id=21, node[31,IF_ICMPNE,line 234], decis={node[44,NEW,line 238],node[32,GETSTATIC,line 235]}, covered=true, coveredBranches={44,32}]"
org.jscience.geography.coordinates.LatLong.valueOf.95,0.5,"NodeCoverage [id=3, node[6,IF_ACMPNE,line 96], decis={node[14,ALOAD,line 99],node[7,ALOAD,line 97]}, covered=true, coveredBranches={14}]
NodeCoverage [id=7, node[16,IF_ACMPNE,line 99], decis={node[28,ALOAD,line 103],node[17,ALOAD,line 100]}, covered=true, coveredBranches={28}]"
org.jscience.geography.coordinates.LatLong.getOrdinate.157,1.0,"NodeCoverage [id=1, node[1,IFNE,line 157], decis={node[14,ILOAD_1,line 160],node[2,GETSTATIC,line 158]}, covered=true, coveredBranches={14,2}]
NodeCoverage [id=11, node[16,IF_ICMPNE,line 160], decis={node[29,NEW,line 164],node[17,GETSTATIC,line 161]}, covered=true, coveredBranches={17,29}]"
org.jscience.geography.coordinates.crs.ProjectedCRS.getAxis.49,-1.0,
org.jscience.geography.coordinates.crs.GeocentricCRS.getAxis.52,-1.0,
org.jscience.geography.coordinates.crs.GeographicCRS.getAxis.49,-1.0,
org.jscience.mathematics.function.Term.getPower.140,0.25,"NodeCoverage [id=2, node[5,IF_ICMPGE,line 140], decis={node[19,ICONST_0,line 144],node[6,ALOAD_0,line 141]}, covered=true, coveredBranches={19}]
NodeCoverage [id=4, node[11,IF_ACMPNE,line 141], decis={node[17,IINC,line 140],node[12,ALOAD_0,line 142]}, covered=false, coveredBranches={}]"
org.jscience.mathematics.function.Term.times.157,0.0,"NodeCoverage [id=8, node[22,IF_ICMPGE,line 162], decis={node[28,ACONST_NULL,line 162],node[23,ALOAD_0,line 162]}, covered=false, coveredBranches={}]
NodeCoverage [id=11, node[32,IF_ICMPGE,line 163], decis={node[38,ACONST_NULL,line 163],node[33,ALOAD_1,line 163]}, covered=false, coveredBranches={}]
NodeCoverage [id=14, node[41,IFNONNULL,line 164], decis={node[68,ALOAD,line 171],node[42,ALOAD,line 165]}, covered=false, coveredBranches={}]
NodeCoverage [id=16, node[43,IFNONNULL,line 165], decis={node[46,ALOAD,line 167],node[44,ALOAD,line 166]}, covered=false, coveredBranches={}]
NodeCoverage [id=20, node[69,IFNONNULL,line 171], decis={node[92,ALOAD,line 176],node[70,ALOAD,line 172]}, covered=false, coveredBranches={}]
NodeCoverage [id=23, node[94,IF_ACMPNE,line 176], decis={node[123,ALOAD,line 182],node[95,ALOAD,line 177]}, covered=false, coveredBranches={}]
NodeCoverage [id=31, node[130,IFGE,line 183], decis={node[153,ILOAD,line 186],node[131,ALOAD,line 184]}, covered=false, coveredBranches={}]
NodeCoverage [id=35, node[154,IFLE,line 186], decis={node[177,NEW,line 190],node[155,ALOAD,line 187]}, covered=false, coveredBranches={}]"
